"sp","avg_growth2011_mm","avg_growth2012_mm","avg_growth2013_mm","avg_growth2014_mm","avg_growth2015_mm","avg_growth2016_mm","avg_growth2017_mm","avg_growth2018_mm","mingrowth_mm","maxgrowth_mm"
"acru",6.25,5.3,6.05,8.89,8.36,8.8,11.28,13.95,5.3,13.95
"caca",0.39,0.48,1.43,3.07,2.97,3.37,4.07,5.74,0.39,5.74
"caco",8.16,5.48,5.39,8.39,10.27,10.21,4.63,6.43,4.63,10.27
"cagl",7.11,6.32,5.46,9.52,6.96,4.76,4.62,8.72,4.62,9.52
"caovl",10.88,12.28,16.94,18.81,15.74,11.98,10.25,13.88,10.25,18.81
"cato",3.68,3.7,3.84,4.49,5.32,5.36,3.38,6.39,3.38,6.39
"ceca",1.75,1.92,2.42,3.15,3.94,2.8,2.79,5.47,1.75,5.47
"cofl",NA,NA,0.29,1.62,1,1.35,0.87,1.12,0.29,1.62
"fagr",10.76,12.61,8.15,11.9,10.51,15.48,8.86,10.2,8.15,15.48
"fram",9.92,9.43,9.15,11.39,10.51,8.76,7.27,9.45,7.27,11.39
"juni",6.06,6.14,7.35,10.17,9.6,8.89,10.69,11.03,6.06,11.03
"litu",12.72,13.47,12.47,12.95,13.11,11.7,11.43,12.86,11.43,13.47
"nysy",1.07,1.2,2.13,2.15,5.45,1.75,2.24,8.81,1.07,8.81
"pist",9.17,12.98,9.1,15.25,15.72,10.29,11.93,10.17,9.1,15.72
"ploc",23.04,13.84,10.59,15.02,17.67,11.08,14.66,16.24,10.59,23.04
"qual",10.31,11.16,9.51,10.96,9.1,10.01,8.18,10.61,8.18,11.16
"qupr",10.18,11.24,9.25,9.62,9.54,9.1,5.96,9.24,5.96,11.24
"quru",19,17.38,14.88,16.93,16.64,15.4,14.2,15.89,14.2,19
"quve",12.73,9.89,10,11.03,12.35,10.72,9.32,13.3,9.32,13.3
"rops",5.33,0.69,2.72,NA,NA,1.19,NA,NA,0.69,5.33
"saal",6.58,2.49,4.97,2.24,NA,NA,NA,NA,2.24,6.58
"tiam",23.51,16.93,13.75,18.03,12.36,10.38,7.18,8.11,7.18,23.51
"ulru",3.26,2.72,2.21,2.99,3.96,2.07,6.83,3.82,2.07,6.83
